date,open,high,low,close,uptrend
2024-12-02 09:30:00,315.0,336.0,315.0,336.0,True
2024-12-02 12:30:00,336.0,357.0,336.0,357.0,True
2024-12-06 14:45:00,357.0,378.0,357.0,378.0,True
2024-12-10 09:30:00,378.0,399.0,378.0,399.0,True
2024-12-11 15:30:00,399.0,420.0,399.0,420.0,True
2024-12-16 09:30:00,420.0,441.0,420.0,441.0,True
2024-12-16 15:45:00,441.0,462.0,441.0,462.0,True
2024-12-18 11:30:00,462.0,483.0,462.0,483.0,True
2024-12-18 15:15:00,462.0,462.0,441.0,441.0,False
2024-12-30 09:45:00,441.0,441.0,420.0,420.0,False
