date,open,high,low,close,uptrend
2024-12-02 09:30:00,204.0,210.0,204.0,210.0,True
2024-12-04 09:30:00,210.0,216.0,210.0,216.0,True
2024-12-06 09:30:00,216.0,222.0,216.0,222.0,True
2024-12-09 09:30:00,222.0,228.0,222.0,228.0,True
