Close,High,Low,Open,Volume,MACD,SIGNAL,RSI,ATR,ADX,MB,UB,LB,BB_Width
MSFT,MSFT,MSFT,MSFT,MSFT,,,,,,,,,
424.8200988769531,425.5360107421875,421.30999755859375,421.5400085449219,1312098,,,,,,,,,
426.2300109863281,426.6499938964844,424.8399963378906,424.90130615234375,700785,,,,,,,,,
428.7900085449219,428.94000244140625,425.989990234375,426.2300109863281,842388,,,,,,,,,
430.5799865722656,430.67999267578125,428.6000061035156,428.79998779296875,1044560,,,,,,,,,
431.1700134277344,431.8999938964844,430.5978088378906,430.6058044433594,742156,,,,,,,,,
431.19500732421875,432.7799987792969,430.6199951171875,431.20001220703125,777365,,,,,,,,,
431.8399963378906,431.8774108886719,430.70001220703125,431.1675109863281,356869,,,,,,,,,
430.2959899902344,431.8284912109375,430.1199951171875,431.80999755859375,452034,,,,,,,,,
430.3900146484375,430.9512939453125,429.760009765625,430.3349914550781,410525,,,,,,,,,
431.3299865722656,431.6069030761719,430.4100036621094,430.43499755859375,495274,,,,,,,,,
430.8999938964844,431.7699890136719,430.79998779296875,431.32000732421875,303190,,,,,,,,,
430.92498779296875,431.3699951171875,430.5799865722656,430.8710021972656,1014890,,,,,,,,,
430.8800048828125,431.3500061035156,430.5799865722656,430.9599914550781,320746,,,,,,,,,
431.0,431.04400634765625,430.5845031738281,430.864990234375,269759,,,75.19753797390973,,,430.02472141810824,433.96960043963713,426.07984239657935,7.889758043057782
430.70001220703125,431.260009765625,430.2449951171875,431.0,242611,,,71.05908988340047,1.2608328092458032,,430.44471522739957,433.13680105635655,427.7526293984426,5.384171657913953
430.7409973144531,431.05999755859375,430.4599914550781,430.79998779296875,190516,,,71.29155125436336,1.192502300699551,,430.76692853655135,432.10175787713905,429.43209919596364,2.669658681175406
430.7703857421875,431.19989013671875,430.3999938964844,430.739990234375,311301,,,71.46852052474841,1.1533446747807932,,430.90838405064176,431.6733036195532,430.1434644817303,1.5298391378229326
431.32989501953125,431.32989501953125,430.7699890136719,430.7699890136719,219972,,,74.66992294174202,1.096051220000857,,430.96194893973217,431.7323875243704,430.19151035509395,1.5408771692764276
431.0989990234375,431.6300048828125,431.0799865722656,431.3399963378906,288007,,,71.12324827619666,1.0448639315920774,,430.9568764822824,431.7226900219119,430.1910629426529,1.5316270792590103
431.2900085449219,431.7298889160156,431.010009765625,431.114990234375,235365,,,72.29557350661989,1.0152017424181115,,430.96366228376115,431.7394148833208,430.1879096842015,1.5515051991193332
431.5,431.80999755859375,431.2300109863281,431.2900085449219,321113,,,73.56612394929964,0.9764324962197605,,430.9393768310547,431.6192323076045,430.2595213545049,1.3597109530995795
431.24029541015625,431.510009765625,431.0,431.5,264907,,,69.33130536498184,0.935794127875331,,431.006827218192,431.5997916207949,430.413862815589,1.18592880520589
431.7149963378906,431.7650146484375,431.0400085449219,431.2149963378906,313000,,,72.45278026915457,0.9177968825405343,,431.10146876743863,431.69338362031976,430.5095539145575,1.183829705762264
431.57000732421875,431.94000244140625,431.29998779296875,431.7200012207031,305916,,,70.10575416309769,0.8945153133707524,,431.11861310686385,431.74868434332177,430.4885418704059,1.2601424729158452
431.0899963378906,431.69000244140625,430.9200134277344,431.6099853515625,340897,,,62.84720836314548,0.8842544070144022,,431.13218470982144,431.7509184612766,430.51345095836626,1.2374675029103628
430.9700012207031,431.5,430.04998779296875,431.0849914550781,1390954,0.204294824671706,,61.142934764310795,0.9301504976754378,,431.1353999546596,431.75024913146467,430.5205507778545,1.2296983536101607
429.8500061035156,430.30999755859375,428.6000061035156,429.8399963378906,2449988,0.09405012207952268,,48.04651810490413,1.045290788814176,,431.06182861328125,431.96172870357486,430.16192852298764,1.7998001805872264
431.2160949707031,431.3399963378906,429.0000915527344,429.7724914550781,754102,0.10467452949052358,,59.45424470839591,1.1474585172383547,,431.07726396833147,431.97980172896627,430.17472620769666,1.8050755212696004
431.510009765625,432.4700012207031,431.125,431.2749938964844,623503,0.13293405182986362,,61.41717831425204,1.162859423593229,,431.1351209368025,432.0373556961264,430.2328861774786,1.8044695186478066
429.6600036621094,431.739990234375,429.5400085449219,431.54998779296875,445923,0.019086311529463273,,46.24201529752062,1.2428128469572328,,431.0579071044922,432.2273106575991,429.88850355138527,2.338807106213835
430.125,430.9599914550781,429.510009765625,429.6099853515625,382067,-0.0360447240357189,,49.61202728396832,1.2586190474758432,,431.0118081229074,432.27039711192333,429.75321913389143,2.5171779780318957
430.739990234375,430.739990234375,429.6400146484375,430.06500244140625,277788,-0.03343446709527598,,53.74227505877146,1.2466305938251048,,430.9696720668248,432.2223276780381,429.7170164556115,2.5053112224265988
431.5299987792969,431.9289855957031,430.6900939941406,430.7149963378906,356432,0.027493101037634915,,58.45348125318944,1.2460509296264857,,431.0004577636719,432.2850903644284,429.71582516291534,2.569265201513076
431.3949890136719,431.5299987792969,430.9200134277344,431.45001220703125,239991,0.0647588510659034,0.04151539882477827,57.377979380321165,1.198797629315828,,431.0079563685826,432.30046348505795,429.71544925210725,2.585014232950698
430.2221984863281,431.739990234375,430.1099853515625,431.44000244140625,364463,0.005379256835965407,0.03341880531912055,48.9521524858135,1.2305896478125948,,430.91668483189176,432.2374738675017,429.5958957962818,2.6415780712198966
430.5799865722656,430.97601318359375,430.1600036621094,430.17999267578125,202325,-0.014224849349318447,0.02299464591046328,51.301632699898924,1.2002378351577951,,430.86951991489957,432.18787293159426,429.5511668982049,2.6367060333893733
