Close,High,Low,Open,Volume
TSLA,TSLA,TSLA,TSLA,TSLA
354.3800048828125,358.7799987792969,352.0600891113281,352.5150146484375,13152971
354.7101135253906,356.75,353.70001220703125,354.3800048828125,4268490
352.5950012207031,355.1400146484375,352.2701110839844,354.95001220703125,3768617
356.5697021484375,357.32818603515625,352.32000732421875,352.625,4191882
355.7099914550781,357.3800048828125,355.1099853515625,356.6199951171875,2761601
354.20001220703125,355.7900085449219,352.6300048828125,355.7900085449219,3231252
352.42999267578125,354.4800109863281,351.15008544921875,354.1990966796875,2656277
352.2799987792969,353.8800048828125,351.6600036621094,352.3999938964844,2337499
353.6400146484375,354.79998779296875,352.2200927734375,352.3800048828125,1892379
354.9200134277344,355.17999267578125,353.010009765625,353.6011962890625,1803324
356.3500061035156,356.3500061035156,354.7401123046875,354.95001220703125,1831236
356.0400085449219,357.1199951171875,355.67999267578125,356.34429931640625,2059345
358.4266052246094,358.4800109863281,355.79998779296875,356.07000732421875,2766040
358.2900085449219,359.44000244140625,357.6600036621094,358.42999267578125,2920566
356.9599914550781,358.7593994140625,356.660400390625,358.3999938964844,1901641
356.0398864746094,357.8299865722656,355.8699951171875,356.98040771484375,1470964
355.9200134277344,357.04998779296875,355.4751892089844,355.99688720703125,1414570
357.0,357.4800109863281,355.3500061035156,355.8861083984375,1532769
356.2300109863281,357.3500061035156,355.79998779296875,357.0199890136719,1344020
355.9200134277344,356.8096008300781,355.6199951171875,356.3399963378906,895883
356.3800048828125,356.6899108886719,355.8399963378906,355.9200134277344,864931
357.533203125,357.7200012207031,355.94000244140625,356.3500061035156,1126186
358.0299987792969,358.2200012207031,356.8699951171875,357.5400085449219,1451175
359.14990234375,359.29998779296875,357.510009765625,358.0,1934952
357.86248779296875,360.0,357.6000061035156,359.17999267578125,3112332
357.0896911621094,357.9020080566406,356.20001220703125,357.9020080566406,3365385
354.55999755859375,355.20001220703125,349.5,351.57501220703125,9070871
352.3446044921875,355.67999267578125,352.0,354.55999755859375,3035186
353.67498779296875,354.3500061035156,352.2502136230469,352.41900634765625,2729253
350.5199890136719,354.6000061035156,350.3858947753906,353.70001220703125,3526687
350.26129150390625,352.239990234375,350.0,350.4800109863281,2412988
349.7200012207031,350.8599853515625,348.20001220703125,350.29998779296875,3448068
351.55499267578125,351.7099914550781,349.5801086425781,349.5863037109375,2199982
352.1405944824219,352.6700134277344,351.34710693359375,351.5,1961822
351.3797912597656,352.3799133300781,350.6900939941406,352.0793151855469,1582180
350.8605041503906,351.85400390625,350.8500061035156,351.3559875488281,1311996
349.9909973144531,351.5664978027344,349.5799865722656,350.909912109375,1537101
349.44000244140625,350.1799011230469,349.0299987792969,350.0,1306672
349.7008056640625,350.1099853515625,348.7699890136719,349.44000244140625,1583528
350.2676086425781,350.75,349.6099853515625,349.6700134277344,1230655
350.5350036621094,351.1300048828125,349.9100036621094,350.20001220703125,1101416
349.07000732421875,350.6499938964844,348.82000732421875,350.510009765625,1602800
349.5400085449219,349.69329833984375,348.3999938964844,349.07000732421875,1361623
349.739990234375,350.29998779296875,349.0199890136719,349.5,1058485
349.30999755859375,349.7044982910156,348.9100036621094,349.7002868652344,877584
349.3411865234375,349.64990234375,349.0299987792969,349.37200927734375,729609
349.2596130371094,350.0400085449219,348.5780029296875,349.3695068359375,1267011
349.8500061035156,350.25,348.8900146484375,349.1803894042969,1088845
349.5198974609375,350.1099853515625,349.2900085449219,349.80999755859375,943037
349.1099853515625,349.9999084472656,349.0299987792969,349.47149658203125,1106807
349.0,349.5098876953125,348.2200012207031,349.05999755859375,1794566
351.3800048828125,351.6099853515625,348.25,349.0303955078125,2884302
350.82000732421875,353.4200134277344,348.6000061035156,353.0400085449219,6561888
350.9898986816406,352.6000061035156,350.13861083984375,350.760009765625,3158574
351.5,351.9800109863281,349.6099853515625,350.760009765625,2301145
351.44000244140625,351.8999938964844,350.20001220703125,351.3717956542969,1814252
353.29278564453125,354.45001220703125,350.86029052734375,351.4158020019531,3166925
353.2900085449219,353.64990234375,352.35009765625,353.29998779296875,1924654
353.0863037109375,354.82000732421875,352.41009521484375,353.3346862792969,2298013
352.5400085449219,353.1647033691406,351.92999267578125,353.05999755859375,1292125
352.8699035644531,352.8699035644531,351.6199951171875,352.5415954589844,1683850
352.0299987792969,353.0,351.3999938964844,352.8721923828125,1182600
351.0971984863281,352.45001220703125,350.9194030761719,352.0003967285156,875118
351.18499755859375,351.82000732421875,350.5700988769531,351.097412109375,1089465
351.88079833984375,351.909912109375,350.7300109863281,351.1600036621094,827828
352.05999755859375,352.4100036621094,351.78009033203125,351.8999938964844,771767
351.15008544921875,352.2398986816406,351.10009765625,352.04998779296875,643373
352.19000244140625,352.3900146484375,351.04998779296875,351.20001220703125,813725
351.5299987792969,352.2900085449219,351.2106018066406,352.1099853515625,786498
352.8599853515625,353.20001220703125,351.5006103515625,351.510009765625,1169054
352.9750061035156,353.3616027832031,352.489990234375,352.739990234375,956330
353.8399963378906,353.95001220703125,352.70001220703125,353.0,1089985
353.3599853515625,353.9700012207031,353.17999267578125,353.8410949707031,776947
353.6951904296875,354.19000244140625,353.2001037597656,353.29998779296875,958772
353.45001220703125,353.79998779296875,352.8500061035156,353.7323913574219,1030415
354.6600036621094,355.37640380859375,353.0799865722656,353.44000244140625,1989641
356.17529296875,356.3500061035156,354.2601013183594,354.62420654296875,2110301
357.92999267578125,358.1000061035156,355.5,356.19989013671875,3477087
370.6549987792969,371.54998779296875,359.51019287109375,359.8699951171875,15945562
